"AUTEURSENAUTEURSFUNCTIES","DOCUMENTCODE","DRUK","EMBARGODATUM","ISBN13EAN","ISBNFOLIOBK","JAARVANUITGAVE","MEDIAPRODUCTFAMILY","NAAMVANUITGEVER","NUMMER","OMVANG","ONDERTITEL","PLAATSVANUITGAVE","PRIJS","PRODUCTSTATUS","PRODUCTTEKST","RUBRIEKCODE","RUBRIEKSOMSCHRIJVING","RUBRIEKSOMSCHRIJVING2","RUBRIEKSOMSCHRIJVING3","SAMENVATTINGABSTRACT","SERIENRCQREEKSNR","SERIETITELCQREEKSTITEL","TITEL","VERSCHIJNINGSDATUM","WIJZIGINGSDATUM","WIJZIGINGSSTATUS"
"Hebly, J.M. |Lorenzo van Rooij, N.","gereed","","","9789077320044","9789077320044","2004","","Paris","","189","","Zutphen","39.91","Final","","822","Privaatrecht","","","Dit boek bevat de parlementaire stukken die betrekking hebben op de nieuwe titel 7.12 ""Aanneming van werk"". Na een lange voorgeschiedenis van meer dan 30 jaar is deze wet in september 2003 uiteindelijk in werking getreden. In dit boek is de parlementaire geschiedenis van het op aanneming van werk toepasselijke recht op een systematische wijze gerangschikt en in een gemakkelijk hanteerbare vorm bijeengebracht. De relevante parlementaire geschiedenis is per artikel geselecteerd met vermelding van vindplaatsen. Trefwoorden en verwijzingen zijn toegevoegd om de toegankelijkheid te vergroten. Dit boek is bedoeld voor ieder die in onderwijs, onderzoek en/of praktijk te maken heeft met deze weerbarstige en belangrijke wetgeving. Prof. mr. J.M. Hebly is bijzonder hoogleraar Bouwrecht aan de Universiteit Leiden en advocaat bij Houthoff Buruma. Mw. mr. N. Lorenzo van Rooij is professional support lawyer bij de sectie Real Estate van Houthoff Buruma.","1","AB&V-Reeks","Aanneming van werk, de parlementaire geschiedenis","16-07-2004","24-12-2020","Gewijzigd"
"Drongelen, J. van (red.)|Rijs, A.D.M. van (red.)","gereed","","","9789490962234","9789490962234","2011","","Paris","","130","Geschillenregelingen in collectieve arbeidsovereenkomsten","Zutphen","31.19","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Het komt regelmatig voor dat een werknemer een conflict krijgt met zijn werkgever. Er kan worden geprobeerd de kwestie intern op te lossen, maar dat lukt niet altijd. Wat dan? Is er een andere mogelijkheid? Ja. Bijna alle bedrijfstak-cao 's in Nederland bevatten geschillenregelingen waarbij geschillencommissies zijn ingesteld. De geschillenregelingen zijn het onderwerp geweest van onderzoek dat in juni 2010 is afgerond. Daarbij is een aantal vragen aan de orde gekomen. Wat is het gebruik van de regeling? Hoe functioneren de geschillencommissies? Hoeveel zaken behandelen de geschillencommissies en wordt voldoende ruchtbaarheid gegeven aan het bestaan van de geschillenregelingen? De uitkomst van dit onderzoek is verwerkt in dit boek, dat uit drie hoofdstukken bestaat. In het eerste hoofdstuk wordt het cao-recht kort toegelicht. In het tweede hoofdstuk wordt het theoretisch kader van de geschillenregelingen in collectieve arbeidsovereenkomsten geschetst. In het derde hoofdstuk wordt de praktijk van de geschillenregelingen in de collectieve arbeidsovereenkomsten belicht. Aan dit derde hoofdstuk ligt het onderzoek Geschillenregelingen in cao 's ten grondslag. Het onderzoek zelf is integraal opgenomen in de bijlage.  Mr. dr. J. van Drongelen: universitair hoofddocent Sociaal Recht en Sociale Politiek Universiteit van Tilburg.  Mr. A.D.M. van Rijs: docent Sociaal Recht en Sociale Politiek Universiteit van Tilburg.","3","Collectief Arbeidsrecht","Collectief arbeidsrecht deel 3","25-08-2011","24-12-2020","Gewijzigd"
"Rinkes, J.G.J. (red.)|Hendrikse, M.L. (red.)","gereed","","","9789490962357","9789490962357","2011","","Paris","","74","","Zutphen","23.85","Final","","793","","","","Op vrijdag 4 november 2011 vond het symposium  'De aansprakelijkheidsverzekering' plaats. Het symposium werd georganiseerd door het UvA Amsterdam Centre for Insurance Studies (ACIS). Medewerking aan het symposium werd verleend door de Master Verzekeringskunde van UvA Amsterdam Business School, de Open Universiteit en het Eggens Instituut voor Postacademisch Juridisch Onderwijs van de Universiteit van Amsterdam. In deze bundel treft u – in de volgorde van het symposiumprogramma – de schriftelijke weergave van vier van de acht aldaar door de sprekers gehouden voordrachten aan. Drie van de vier auteurs zijn als onderzoeker aan ACIS verbonden. In de bijdragen wordt wetenschappelijke diepgang gecombineerd met praktische toepasbaarheid. Naast het weergeven van de  'state of the art' is beoogd zo veel mogelijk bruikbare oplossingen te geven voor problemen waar pasklare antwoorden niet (direct) voorhanden zijn en zijn tevens – voor zover toepasselijk – kritiekpunten bij bestaande uitgangspunten en oplossingen geplaatst.","8","ACIS-Serie","De aansprakelijkheidsverzekering","04-11-2011","24-12-2020","Gewijzigd"
"Jong, C.J. de","gereed","","","9789490962319","9789490962319","2011","","Paris","","214","De privaatrechtelijke en publiekrechtelijke positie van de verzekeringstussenpersoon en de gevolmachtigd agent, hun rol in het financiëledienstverleningsproces en de voor hen geldende gedragsnormen","Zutphen","45.41","Final","","793","","","","Dit boek is de handelseditie van het proefschrift met de titel: De privaatrechtelijke en publiekrechtelijke positie van de verzekeringstussenpersoon en de gevolmachtigde agent, hun rol in het financiële dienstverleningsproces en de voor hen geldende gedragsnormen, waarop de auteur op 2 september 2011 promoveerde aan de Open Universiteit. Verzekeringstussenpersonen hebben een ontwikkelingsgang doorgemaakt. Aanvankelijk waren zij handelsagenten, die voor hun principaal verzekeringen aan de man brachten. Slaagden zij erin om een verzekering te sluiten, dan ontvingen zij van de verzekeraar provisie – een transactieafhankelijke en volumegerelateerde beloning. Thans acteert een verzekeringstussenpersoon als opdrachtnemer van zijn klant en wordt hij in veel gevallen voor zijn dienstverlening rechtstreeks beloond door de klant. Dit in tegenstelling tot een gevolmachtigd agent, die handelt namens de verzekeraar en door deze in de vorm van tekencommissie wordt beloond voor de aan hem uitbestede werkzaamheden. Voor verzekeringstussenpersonen en gevolmachtigd agenten geldt sinds 1 januari 2006 een toezicht-regime. Met name voor eerstgenoemde categorie van financiëledienstverleners betekent dit dat zij sindsdien met een tsunami van nieuwe wet- en regelgeving zijn geconfronteerd. Voor gevolmachtigd agenten heeft de wetgever nieuwe, ingrijpende voorschriften in petto. De privaatrechtelijke en publiekrechtelijke positie van verzekeringstussenpersonen en gevolmachtigd agenten vormde voor De Jong het vertrekpunt voor een heldere beschrijving van hun rol in het financiëledienstverleningsproces en de daarbij in acht te nemen publiekrechtelijke regels. Volgens de auteur is een deel van deze regels overbodig, omdat het privaatrecht adequate regels bevat.","7","ACIS-Serie","De verzekeringstussenpersoon en de gevolmachtigd agent","09-11-2011","24-12-2020","Gewijzigd"
"Hendrikse, M.L.","gereed","","","9789490962166","9789490962166","2011","","Paris","","53","Een proportionele benadering bij eigen schuld in het (schade)verzekeringsrecht","Zutphen","17.89","Final","","822","Privaatrecht","","","Voor het (schade)verzekeringsrecht wordt niet zelden in de literatuur verdedigd dat de verzekerde in geval van gedrag dat (uiteindelijk) als eigen schuld in de zin van art. 7:952 BW of de standaard eigenschuldclausules in verzekeringsvoorwaarden kan worden gekwalificeerd zijn gehele recht op uitkering verliest. In dit boek zal de opvatting worden verdedigd dat een schadeverdeling naar evenredigheid en dus een gedeeltelijke uitkering voor de verzekerde bij eigen schuld in het (schade)verzekeringsrecht rechtens wel degelijk mogelijk zijn en moeten zijn.  Prof. mr. drs. M.L. Hendrikse is bijzonder hoogleraar handelsrecht en verzekeringsrecht aan de Open Universiteit (JPR advocaten-leerstoel), directeur van het UvA Amsterdam Centre for Insurance Studies (ACIS), opleidingsdirecteur van de Master Verzekeringskunde van de UvA Amsterdam Business School, universitair hoofddocent privaatrecht aan de Universiteit van Amsterdam, rechter-plaatsvervanger in de Rechtbank Utrecht en lid van de Geschillencommissie Kifid (Verzekeringskamer).","13","NTHR-Reeks","Eigen schuld, proportionaliteitsbeginsel en causaliteitstoerekening","29-04-2011","24-12-2020","Gewijzigd"
"Leerink, P.M.","gereed","","","9789490962364","9789490962364","2011","","Paris","","279","","Zutphen","47.25","Final","","793","","","","Dit proefschrift gaat over premiebetaling in het verzekeringsrecht. Is de verplichting tot premiebetaling een essentieel bestanddeel van de verzekeringsovereenkomst? Is er bij levensverzekering sprake van een (afdwingbare) verplichting tot premiebetaling? Op welk moment en op welke wijze moet de premie worden betaald? Kan de verzekeraar bij te late premiebetaling de dekking direct schorsen? Hoe bewijst de verzekeraar dat hij heeft gewaarschuwd? Blijft de premie (volledig) verschuldigd terwijl de dekking is geschorst? Kan of moet de verzekeraar opzeggen bij te late premiebetaling? Is het mogelijk om premieachterstand te verrekenen met een uitkering? Wanneer bestaat er recht op premierestitutie? Wat zijn de gevolgen indien de premiebetaling via een tussenpersoon verloopt? Na een korte rechtsvergelijkende verkenning wordt een voorstel gedaan om de huidige wettelijke bepalingen inzake premiebetaling aan te passen. Het boek bevat naast wetenschappelijke beschouwingen praktische aanwijzingen voor de verzekeringspraktijk van alledag.","9","ACIS-Serie","Premiebetaling in het verzekeringsrecht","25-11-2011","24-12-2020","Gewijzigd"
"Hendrikse, M.L.|Hall, S.E. van|Margetson, N.J.|Teuling, H.P.D. den|Vries, G.J.P. de","gereed","","","9789490962746","9789490962746","2013","","Paris","","279","","Zutphen","45.14","Final","","822","Privaatrecht","","","De internationale handel is voor de Nederlandse economie van eminent belang. Opvallend in dat perspectief is dat er relatief weinig Nederlandstalige naslagwerken zijn over de juridische aspecten van internationale handel. Onderhavig boek wil in die lacune voorzien. Gepoogd is de praktijkjurist die zich met het internationaal handelsrecht bezighoudt alsmede de masterstudent die zich verdiept in het vak Internationaal Handelsrecht op zijn wenken te bedienen door wetenschappelijke diepgang te combineren met oog voor de praktische toepasbaarheid. De auteurs haasten zich er bij te zeggen dat de toegankelijkheid van het boek evenwel ook meebrengt dat niet alles in extenso kan worden behandeld en er een keuze is gemaakt in de te behandelen onderwerpen. In het kader van dit laatste is dan ook gekozen voor de titel Capita Internationaal Handelsrecht. In het internationaal handelsrecht wordt veel gebruikgemaakt van internationale regelgeving zoals verdragen. Verdragen dienen in beginsel uniform uitgelegd en uniform toegepast te worden. Het kennisnemen van buitenlandse uitspraken en buitenlandse literatuur wordt daarmee voor de Nederlandse rechter, advocaat en bedrijfsjurist in het kader van IHR-regelgeving belangrijk. In dit boek komen de buitenlandse rechtsbronnen dan ook ruimschoots aan de orde. ","19","NTHR-Reeks","Capita Internationaal Handelsrecht","14-01-2013","24-12-2020","Gewijzigd"
"Drongelen, J. van|Rijs, A.D.M. van|Klingeman, S.","gereed","2","","9789490962937","9789490962937","2013","","Paris","","246","","Zutphen","26.42","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Ontslag is in veel gevallen een ingrijpend gebeuren. De werknemer moet bij een (dreigend) ontslag op zoek naar een nieuwe werkkring en kan geconfronteerd worden met een al dan niet langdurige periode van werkloosheid. Dit kan onzekerheid, statusverlies en inkomensachteruitgang met zich brengen. Er moet dus ook niet al te lichtzinnig over ontslag worden gesproken. Er wordt wel eens een vergelijking gemaakt met een rouwproces om aan te geven wat het effect is van het (moeten) verwerken van een gedwongen ontslag, zeker als een werknemer tientallen jaren bij dezelfde werkgever werkzaam is geweest. Ook voor de werkgever is een ontslag geen eenvoudige opgave. Hij zet in de meeste gevallen de eerste stap om de arbeidsrelatie te beëindigen. Daarbij spelen uiteenlopende motieven een rol, bedrijfseconomische en bedrijfsorganisatorische motieven, in de werknemer zelf gelegen redenen en een verstoorde arbeidsrelatie. Bij bedrijfseconomische motieven moet de werkgever een keuze maken","","","Het ontslagrecht in de praktijk","17-06-2013","24-12-2020","Gewijzigd"
"Ramautar, A.C. gehuwd Akkal","gereed","","","9789462510852","9789462510852","2015","","Paris","","348","Over vereffening van tot een onverdeelde of onbeheerde boedel behorende rechten op (plantage)gronden in Suriname","Zutphen","65.14","Final","","822","Privaatrecht","","","In dit proefschrift worden mogelijke oplossingsvoorstellen gedaan om de voortdurende boedelproblematiek in Suriname op te lossen. In de loop der tijd zijn gronden in Suriname onder diverse titels – zoals volle en volcomen eigendom, allodiale eigendom en erfelijk bezit en eigendom – uitgegeven onder uiteenlopende voorwaarden. Een aanzienlijk deel van deze gronden behoort thans tot boedelgrond. Dit onderzoek richt zich op de oorzaken van deze boedels en wordt nagegaan op welke wijze de boedelproblematiek kan worden opgelost met de huidige (wettelijke) regels. Hierbij worden eveneens de knelpunten voor de toepassing van de huidige regels aan de orde gesteld.Kort na de afschaffing van de slavernij werd veelal één plantage door meerdere vrijgekomen slaven gekocht. Vanaf dit moment ontstond dan mede-eigendom. Na het overlijden van deze eigenaren hebben erfgenamen gedurende generatie op generatie nagelaten om deze onverdeelde boedels te doen scheiden en delen, hetgeen in de bijkans 146 jaar heeft geleid tot onverdeelde boedels, waarbij het niet vreemd is als een erfgenaam zelfs in duizendste delen aanspraak maakt op de nalatenschap. Aangezien de kiem van de boedelproblematiek in de koloniale periode is gelegd en dit probleem zich voornamelijk voordoet bij de grond die onder uiteenlopende voorwaarden in allodiale eigendom en erfelijk bezit is uitgegeven, wordt de rechtshistorie van met name deze titel op de grond uiteengezet vanaf het koloniale verleden tot heden. In dit kader wordt ook een rechtsvergelijkend onderzoek gedaan met Nederland en Curaçao.","","","Boedelproblematiek in Suriname","09-10-2015","24-12-2020","Gewijzigd"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","8","","9789462510890","9789462510890","2015","","Paris","","354","Met bijzonder voorwoord van mr. R.G.T. Bleeker","Zutphen","76.61","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, ook die niet elders is gepubliceerd, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in deeltjes van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 12A worden behandeld: Hoofdstuk 30: Onduidelijkheden en tegenstrijdigheden","12A","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 12A","09-12-2015","24-12-2020","Gewijzigd"
